id,question,gold_answer,answer
10,What is unsupervised learning?,"Unsupervised Learning is a type of machine learning where the model works without labelled data. It learns patterns on its own by grouping similar data points or finding hidden structures, used in clustering, dimensionality reduction, and anomaly detection.","Unsupervised learning is a type of machine learning where the model is trained on unlabeled data, and it identifies patterns, relationships, or groupings without prior knowledge of the output. The goal is to discover hidden structures or representations in the data. Common applications include clustering, dimensionality reduction, and anomaly detection. The model learns to identify features and relationships on its own."
11,What is precision?,Precision is the proportion of true positive predictions among all positive predictions made by the model; it measures correctness of positive predictions.,"Precision is a metric used to evaluate the performance of a classification model. It measures the proportion of true positives among all predicted positive instances. In other words, it calculates the number of correctly predicted positive instances out of all instances predicted as positive. A higher precision indicates a lower rate of false positives."
12,What is recall?,Recall (sensitivity) is the proportion of actual positive cases correctly identified by the model; it measures completeness of positive detection.,"Recall is a metric used to evaluate the performance of a classification model, particularly in situations where the cost of missing a positive instance is high. It measures the proportion of actual positive instances that are correctly predicted by the model. In other words, recall is the ratio of true positives to the sum of true positives and false negatives. A high recall indicates that the model is good at detecting all instances of a particular class."
13,What is the F1 score?,"The F1 score is the harmonic mean of precision and recall, providing a single metric that balances both.","The F1 score is a measure of a model's accuracy on a classification task, calculated as the harmonic mean of precision and recall. It ranges from 0 (worst) to 1 (best), providing a balanced evaluation of both false positives and false negatives. The F1 score is useful when classes are imbalanced or when both precision and recall are important."
14,What is ROC AUC?,ROC AUC is the area under the Receiver Operating Characteristic curve; it quantifies a classifier's ability to discriminate between classes across all thresholds.,"ROC AUC, or Receiver Operating Characteristic Area Under the Curve, is a metric used to evaluate the performance of a binary classification model. It measures the model's ability to distinguish between positive and negative classes by plotting the true positive rate against the false positive rate at different thresholds. The AUC value ranges from 0 to 1, where 1 indicates perfect classification and 0.5 indicates random guessing. A higher AUC value indicates better model performance."
15,What is cross-validation?,Cross-validation is a method for estimating model performance by splitting the data into multiple train/test folds and averaging results to reduce evaluation variance.,"Cross-validation is a statistical technique used to evaluate the performance of a machine learning model by training and testing it on multiple subsets of the available data. It involves dividing the data into training and validation sets, training the model on the training set, and evaluating its performance on the validation set. This process is repeated multiple times with different subsets, providing a more robust estimate of the model's performance. Common techniques include k-fold cross-validation."
16,What is k-fold cross-validation?,"K-fold cross-validation splits data into k equal parts, trains the model k times each time holding out one part for validation, and averages the metrics.","K-fold cross-validation is a technique used to evaluate the performance of a machine learning model. It involves dividing the available data into k subsets or folds, training the model on k-1 folds, and testing it on the remaining fold. This process is repeated k times, with each fold serving as the test set once. The average performance across the k iterations is used to estimate the model's overall performance."
17,What is gradient descent?,Gradient descent is an iterative optimization algorithm that updates model parameters in the direction of the negative gradient of the loss to minimize it.,"Gradient descent is an optimization algorithm used to minimize the loss function in various machine learning algorithms. It iteratively adjusts the model parameters in the direction of the negative gradient of the loss function, reducing the loss. The step size is controlled by the learning rate. Gradient descent is widely used for training neural networks and other models."
18,What is learning rate?,"The learning rate is a hyperparameter that controls the step size at each iteration of gradient descent, affecting convergence speed and stability.","The learning rate is a hyperparameter that controls how quickly a machine learning model learns from the training data. It determines the step size of each iteration in the optimization algorithm, such as gradient descent. A high learning rate can lead to fast convergence but may overshoot the optimal solution, while a low learning rate can result in more stable convergence but may be slower."
19,What's the difference between batch and stochastic gradient descent?,Batch gradient descent uses the full training set to compute gradients each update; stochastic gradient descent uses one sample per update; mini-batch uses small subsets.,"Batch gradient descent uses the entire dataset to compute the gradient in each iteration, whereas stochastic gradient descent uses a single random sample. This makes stochastic gradient descent faster and more suitable for large datasets, but also noisier. Batch gradient descent is more stable, but computationally expensive for large datasets. Stochastic gradient descent is often preferred in practice due to its efficiency."
20,What is the difference between L1 and L2 regularization?,L1 regularization adds an absolute-value penalty encouraging sparsity (zero weights); L2 adds a squared penalty encouraging small weights but not sparsity.,"L1 and L2 regularization are techniques used to prevent overfitting in machine learning models. L1 regularization, also known as Lasso regression, adds a penalty term proportional to the absolute value of the model's weights, whereas L2 regularization, also known as Ridge regression, adds a penalty term proportional to the square of the model's weights. L1 regularization can result in sparse models by setting some weights to zero, while L2 regularization reduces the magnitude of all weights. This makes L1 more suitable for feature selection."
21,What is Principal Component Analysis (PCA)?,PCA is a dimensionality reduction technique that finds orthogonal directions (principal components) of maximum variance and projects data onto them.,"Principal Component Analysis (PCA) is a dimensionality reduction technique used in machine learning to simplify complex datasets by transforming them into a new coordinate system. It identifies the principal components, which are orthogonal vectors that capture the variance within the data. By retaining only the top components, PCA reduces the number of features while preserving most of the information. This helps in visualizing and analyzing high-dimensional data."
22,What is K-means clustering?,K-means clustering partitions data into K clusters by iteratively assigning points to the nearest centroid and updating centroids to minimize within-cluster variance.,K-means clustering is an unsupervised machine learning algorithm that partitions the data into K clusters based on their similarities. It works by iteratively assigning each data point to the cluster with the closest centroid and updating the centroid of each cluster. The goal is to minimize the sum of squared distances between data points and their assigned centroids. The algorithm converges when the centroids no longer change significantly.
23,What is ensemble learning?,"Ensemble learning combines multiple models (e.g., bagging, boosting) to improve overall predictive performance and reduce variance or bias.","Ensemble learning is a machine learning technique that combines the predictions of multiple models to improve overall performance and robustness. By aggregating the outputs of individual models, ensemble methods can reduce overfitting, improve accuracy, and increase the model's ability to generalize to new data. Common ensemble techniques include bagging, boosting, and stacking. This approach leverages the strengths of individual models to create a more accurate and reliable overall model."
24,What is dropout in neural networks?,Dropout is a regularization technique that randomly disables a fraction of neurons during training to prevent co-adaptation and reduce overfitting.,"Dropout is a regularization technique used in neural networks to prevent overfitting. It randomly sets a fraction of neurons to zero during training, effectively ""dropping out"" these neurons. This helps the network learn multiple representations and reduces its reliance on any single neuron. By doing so, dropout improves the network's generalization to unseen data."
25,What is feature engineering?,"Feature engineering is the process of creating, transforming, and selecting input features to improve a model's ability to learn useful patterns.","Feature engineering is the process of selecting, transforming, and creating new features from existing ones to improve the performance of a machine learning model. It involves analyzing the data, identifying relevant features, and applying techniques such as normalization, encoding, and feature extraction to create a more informative and relevant dataset. The goal is to enhance the model's ability to learn patterns and relationships in the data."
26,What is an activation function?,"An activation function introduces non-linearity into neural networks; common examples are ReLU, sigmoid, and tanh.","An activation function is a mathematical function used in neural networks to introduce non-linearity into the model, enabling it to learn complex relationships between inputs and outputs. It is applied to the output of a neuron, determining whether and how much the neuron should be activated. Common examples include sigmoid, ReLU (Rectified Linear Unit), and tanh. The choice of activation function affects the network's ability to learn and generalize."
27,What is ReLU?,"ReLU (Rectified Linear Unit) outputs max(0, x), promoting sparse activations and helping mitigate vanishing gradients.","ReLU, or Rectified Linear Unit, is a widely used activation function in neural networks. It outputs 0 for any negative input and the input itself for any non-negative input. Mathematically, it's represented as f(x) = max(0, x). ReLU is simple, efficient, and helps avoid the vanishing gradient problem."
28,What is softmax?,Softmax converts logits into a probability distribution over classes by exponentiating and normalizing outputs.,"Softmax is a mathematical function used in machine learning models, particularly in the output layer of classification models. It takes a vector of real numbers as input and outputs a vector of probabilities, where the probabilities are proportional to the exponential of the input values. The output probabilities sum to 1, making it suitable for multi-class classification problems. This allows the model to predict the probability of each class."
29,What is cross-entropy loss?,Cross-entropy loss measures the difference between predicted probability distributions and true distributions; it's commonly used for classification.,"Cross-entropy loss is a common loss function used in classification problems, measuring the difference between predicted probabilities and true labels. It calculates the loss by comparing the predicted probabilities with the actual class labels, penalizing incorrect predictions. The goal is to minimize this loss, which indicates better model performance. Cross-entropy loss is often used in logistic regression and neural networks."
30,What is batch normalization?,Batch normalization standardizes layer inputs across the mini-batch to stabilize and accelerate training.,"Batch normalization is a technique used in deep learning to normalize the inputs of each layer. It normalizes the activations of the previous layer for each mini-batch, ensuring they have a mean of 0 and a variance of 1. This helps stabilize training, reduce the effect of internal covariate shift, and improve the model's performance. It was introduced by Ioffe and Szegedy in 2015."
31,What is data augmentation?,"Data augmentation creates modified versions of training examples (e.g., rotations, flips) to increase dataset diversity and reduce overfitting.","Data augmentation is a technique used in machine learning to artificially increase the size of a training dataset by applying transformations to the existing data. This can include operations such as rotation, flipping, scaling, and color jittering, among others. The goal is to improve the model's robustness and generalizability by exposing it to a more diverse set of examples. This is particularly useful when the available training data is limited."
32,What is transfer learning?,"Transfer learning reuses a model pretrained on one task as a starting point for another related task, often improving performance with less data.","Transfer learning is a machine learning technique where a model trained on one task is re-purposed or fine-tuned for another related task. This approach leverages the knowledge and features learned from the first task to improve performance on the second task, often requiring less data and training time. It is commonly used in deep learning, particularly with pre-trained models like those trained on ImageNet."
33,What is fine-tuning?,"Fine-tuning updates a pretrained model's weights on a new dataset, typically with a smaller learning rate to adapt to the new task.","Fine-tuning is a technique in machine learning where a pre-trained model is adapted to a specific task or dataset. The pre-trained model has already learned general features from a large dataset, and fine-tuning involves adjusting its weights to fit the new task. This approach is useful when there is limited training data available for the new task. Fine-tuning can improve the model's performance on the specific task."
34,What is early stopping?,Early stopping halts training when validation performance stops improving to prevent overfitting.,Early stopping is a regularization technique used in machine learning to prevent overfitting by stopping the training process when the model's performance on a validation set starts to degrade. It monitors the model's performance on the validation set during training and stops training when the performance stops improving. This helps prevent the model from overfitting to the training data. Early stopping is often used in conjunction with other regularization techniques.
35,What is hyperparameter tuning?,"Hyperparameter tuning searches for the best set of model configuration parameters (e.g., learning rate, batch size) often using grid search or Bayesian optimization.","Hyperparameter tuning is the process of adjusting the parameters of a machine learning model that are set before training, such as learning rate, regularization strength, or number of hidden layers. The goal is to find the optimal combination of hyperparameters that results in the best model performance. This is typically done through a search process, such as grid search, random search, or Bayesian optimization. Hyperparameter tuning is crucial to achieving good model performance."
36,What is model calibration?,Model calibration assesses and adjusts the alignment between predicted probabilities and observed outcome frequencies.,"Model calibration refers to the process of ensuring that the predicted probabilities of a machine learning model accurately reflect the true probabilities of the outcomes. A well-calibrated model is one where the predicted probabilities match the actual frequencies of the events. For example, if a model predicts a 70% chance of an event occurring, the event should occur approximately 70% of the time. This is important for making reliable decisions based on the model's outputs."
37,What is a confusion matrix?,"A confusion matrix tabulates true vs predicted class counts (TP, FP, TN, FN) to analyze classifier performance.","A confusion matrix is a table used to evaluate the performance of a classification model. It compares the predicted classes against the actual classes, showing the number of true positives, false positives, true negatives, and false negatives. This matrix provides a clear summary of the model's accuracy and helps identify areas for improvement. It is a key tool in machine learning for assessing model performance."
38,What is a precision-recall curve?,"A precision-recall curve shows precision vs recall across thresholds, useful for evaluating models on imbalanced datasets.","A precision-recall curve is a graphical representation used to evaluate the performance of a classification model, particularly when dealing with imbalanced datasets. It plots precision against recall at different thresholds, showing the trade-off between the two metrics. Precision measures the proportion of true positives among all positive predictions, while recall measures the proportion of true positives among all actual positive instances. The curve helps in identifying the optimal threshold for a model."
39,What is class imbalance and how to handle it?,"Class imbalance occurs when some classes are much less frequent; handle with resampling, class weighting, or synthetic data generation like SMOTE.","Class imbalance occurs when the number of instances in one class significantly outnumbers the instances in another class, often leading to biased models. To handle it, techniques such as oversampling the minority class, undersampling the majority class, or generating synthetic samples using methods like SMOTE (Synthetic Minority Over-sampling Technique) can be employed. Additionally, using class weights or cost-sensitive learning can also help mitigate the issue. These approaches help improve the model's performance on the minority class."
40,What is SMOTE?,SMOTE (Synthetic Minority Over-sampling Technique) generates synthetic examples of the minority class by interpolating between minority samples and their neighbors.,"SMOTE (Synthetic Minority Over-sampling Technique) is a technique used to handle class imbalance in machine learning datasets. It generates synthetic samples of the minority class by interpolating between existing minority class instances, rather than simply duplicating them. This helps to balance the class distribution and improve the model's performance on the minority class. SMOTE is often used in conjunction with other techniques, such as undersampling the majority class."
41,What is feature selection?,Feature selection identifies the most relevant input features to improve model performance and reduce complexity.,"Feature selection is a process in machine learning where a subset of relevant features is chosen for use in a model, while discarding the rest. This helps to reduce the dimensionality of the data, improve model performance, and decrease training time. By selecting the most informative features, feature selection can also improve model interpretability. It is a crucial step in building robust and efficient machine learning models."
42,What is PCA used for?,PCA reduces dimensionality by projecting data onto principal components that capture maximum variance.,"Principal Component Analysis (PCA) is used for dimensionality reduction, data visualization, and noise reduction. It transforms high-dimensional data into lower-dimensional data while retaining most of the information. PCA is commonly used in data preprocessing for machine learning models and exploratory data analysis. It helps identify patterns and correlations in the data."
43,What is an ROC curve?,An ROC curve plots true positive rate vs false positive rate across thresholds to evaluate classifier discrimination.,"An ROC (Receiver Operating Characteristic) curve is a graphical representation of a model's performance, plotting the True Positive Rate (TPR) against the False Positive Rate (FPR) at different thresholds. It illustrates the trade-off between correctly identifying positive instances and incorrectly identifying negative instances. The curve helps evaluate a model's accuracy and identify the optimal threshold for classification. The area under the ROC curve (AUC-ROC) is a common metric to assess the model's overall performance."
44,What is A/B testing in ML?,A/B testing compares two models or feature variants in production by randomizing user traffic and measuring key metrics to determine which performs better.,"A/B testing, also known as split testing, is a method in machine learning where two or more versions of a model or feature are compared to determine which one performs better. It involves randomly splitting users or data into groups and exposing each group to a different version, then measuring the outcome. This helps to identify the most effective version and inform data-driven decisions. A/B testing is commonly used to evaluate the impact of changes to a model or application."
45,What is explainability?,"Explainability provides human-understandable reasons for model predictions using methods like feature importance, LIME, or SHAP.","Explainability in machine learning refers to the ability to understand and interpret the decisions made by a model. It involves providing insights into the model's behavior, such as which features are driving its predictions. Explainability is crucial for building trust in AI systems, particularly in high-stakes applications. Techniques like feature attribution and model interpretability help achieve explainability."
46,What is SHAP?,SHAP assigns feature attributions based on game-theoretic Shapley values to explain individual predictions.,"SHAP (SHapley Additive exPlanations) is a technique used to explain the output of machine learning models by assigning a value to each feature for a specific prediction, indicating its contribution to the outcome. It is based on the concept of Shapley values from cooperative game theory. SHAP provides a way to understand how different features influence the predictions made by a model. It helps in interpreting complex models by quantifying feature importance."
47,What is LIME?,LIME explains individual predictions by fitting local interpretable models around the instance to approximate the complex model's behavior.,"LIME (Local Interpretable Model-agnostic Explanations) is a technique used to explain the predictions of machine learning models. It generates an interpretable model locally around a specific prediction to approximate the original model's behavior. LIME provides feature importance scores, indicating which input features contributed to the prediction. This helps in understanding complex models."
48,What is a learning curve?,A learning curve plots model performance versus training set size to diagnose underfitting or overfitting and estimate benefits from more data.,"A learning curve is a graphical representation of the relationship between the amount of experience or practice (usually measured in time or number of tasks) and the performance or proficiency achieved. It illustrates how the rate of improvement or learning changes over time, often showing a rapid initial improvement followed by a slower rate of progress. The curve is commonly used to analyze and predict the efficiency gains or cost reductions that occur as a result of experience and repetition."
49,What is ensemble voting?,Voting ensembles combine multiple model predictions by majority vote (hard) or averaging probabilities (soft) to improve robustness.,Ensemble voting is a technique used in machine learning where multiple models are combined to make a prediction by voting on the outcome. The models can be different algorithms or the same algorithm with different parameters or training data. The class or label that receives the most votes is selected as the final prediction. This approach can improve the overall accuracy and robustness of the model by reducing the impact of individual model errors.
50,What is causality vs correlation?,Correlation measures statistical association; causality indicates that a change in one variable produces a change in another and requires causal inference or controlled experiments.,"Causality refers to a cause-and-effect relationship between two variables, where one variable (the cause) directly influences the other (the effect). Correlation, on the other hand, indicates a statistical relationship between two variables, but does not imply causation. In other words, correlation does not necessarily mean that one variable causes the other. A classic example is the correlation between ice cream sales and number of drownings, which is not causal, as both are related to a third variable, warm weather."
